Scene No,Story Text (90 sec total split into 10 scenes),Image Prompt,Voice Script,Music Command
1,"Milo the rabbit woke up early, excited for an adventure in the magical forest.","3D Pixar-style cute rabbit in magical forest, morning sunlight","Milo wakes up excitedly, in a soft playful voice.","soft magical background music, low volume"
2,He heard a tiny voice calling for help from a bush.,"Rabbit looking at bush, tiny glowing creature calling for help",Soft worried voice for tiny creature,"soft magical background music, low volume"
3,"Milo bravely hopped towards the sound, ready to help.","Brave rabbit hopping, focused expression, forest path",Brave tone for Milo,"soft magical background music, low volume"
4,He found a baby squirrel stuck on a branch.,"Baby squirrel stuck on small branch, scared eyes","Baby squirrel soft voice, scared","soft magical background music, low volume"
5,"With courage, Milo climbed up and freed the squirrel.","Rabbit climbing branch, helping baby squirrel down",Excited relieved voice,"soft magical background music, low volume"
6,The squirrel thanked Milo and offered him a golden acorn.,Happy squirrel giving golden acorn to rabbit,"Cheerful, thankful voice","soft magical background music, low volume"
7,Milo realized kindness always brings rewards.,"Rabbit holding golden acorn, smiling, magical forest",Reflective gentle voice,"soft magical background music, low volume"
8,"They played together, exploring hidden parts of the forest.","Rabbit and squirrel playing, forest with hidden magical elements",Playful cheerful voice,"soft magical background music, low volume"
9,Milo’s new friend taught him a fun magic trick.,Squirrel showing glowing magic trick to rabbit,Magical playful voice,"soft magical background music, low volume"
10,"At sunset, Milo waved goodbye, happy with his adventure. Moral: Courage + kindness create magic.","Rabbit waving at sunset, forest magical glow",Warm soft goodbye voice,"soft magical background music, low volume"
